2018-12-12 09:55:45 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:55:50 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:55:55 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:56:00 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:56:05 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:56:10 ERROR: CheckInputs() : tried to spend coinbase at depth 115, coinstake=1
2018-12-12 09:56:10 ERROR: AcceptToMemoryPool: : ConnectInputs failed 3ce1d11eea2f27a2738dc0182e378d5c1c7d7f281d90a5e66e009b124b6a15af
2018-12-12 09:56:11 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:56:16 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:56:21 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:56:26 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:56:31 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:56:36 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:56:41 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:56:47 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:56:52 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:56:57 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:57:02 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:57:07 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:57:12 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:57:18 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:57:23 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:57:28 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:57:33 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:57:39 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:57:44 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:57:49 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:57:54 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:57:59 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:58:04 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:58:10 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:58:15 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:58:20 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:58:25 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:58:30 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:58:35 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:58:40 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:58:46 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:58:51 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:58:56 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:59:01 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:59:06 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:59:11 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:59:17 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:59:22 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:59:27 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:59:32 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:59:37 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:59:43 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:59:48 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:59:53 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 09:59:58 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:00:03 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:00:08 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:00:13 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:00:18 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:00:24 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:00:29 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:00:34 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:00:39 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:00:44 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:00:49 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:00:54 UpdateTip: new best=446df9d60ff59db33e3cf763178e8c0db2129b700897a05f06a1ea8fc5a2ed0d  height=90435  log2_work=61.997601  tx=289387  date=2018-12-12 09:36:18 progress=0.999882  cache=39655
2018-12-12 10:00:54 ProcessNewBlock : ACCEPTED in 36 milliseconds with size=3974
2018-12-12 10:00:54 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:00:59 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:01:04 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:01:09 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:01:14 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:01:20 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:01:25 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:01:30 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
